NAME_2,active_fault_line,tsunami,lahar
Agdangan,0,0,0
Alabat,0,0,0
Atimonan,1,0,0
Buenavista,1,0,0
Burdeos,0,0,0
Calauag,1,1,0
Candelaria,0,0,2
Catanauan,0,0,0
Dolores,0,0,2
GeneralLuna,0,0,0
GeneralNakar,1,0,0
Guinayangan,2,0,0
Gumaca,0,0,0
Infanta,1,1,0
Jomalig,0,1,0
Lopez,1,0,0
Lucban,0,0,2
LucenaCity,0,0,1
Macalelon,0,0,0
Mauban,1,0,0
Mulanay,0,0,0
PadreBurgos,0,0,0
Pagbilao,0,0,0
Panukulan,0,0,0
Patnanungan,0,1,0
Perez,0,0,0
Pitogo,0,0,0
Plaridel,0,0,0
Polillo,0,0,0
Quezon,0,0,0
Real,0,0,0
Sampaloc,0,0,0
SanAndres,1,0,0
SanAntonio,0,0,0
SanFrancisco,0,0,0
SanNarciso,1,0,0
Sariaya,0,0,2
Tagkawayan,0,0,0
TayabasCity,1,0,2
Tiaong,0,0,1
Unisan,0,0,0
