NAME_2,solar_irradiance
Agdangan,4.023
Alabat,3.942
Atimonan,3.853
Buenavista,4.042
Burdeos,3.889
Calauag,3.76
Candelaria,4.141
Catanauan,3.955
Dolores,3.89
GeneralLuna,3.891
GeneralNakar,3.764
Guinayangan,3.748
Gumaca,3.873
Infanta,3.697
Jomalig,4.162
Lopez,3.808
Lucban,3.42
LucenaCity,4.036
Macalelon,3.879
Mauban,3.764
Mulanay,4.081
PadreBurgos,4.045
Pagbilao,4.04
Panukulan,3.695
Patnanungan,4.111
Perez,3.898
Pitogo,3.904
Plaridel,3.857
Polillo,3.927
Quezon,4.036
Real,3.553
Sampaloc,3.5
SanAndres,4.203
SanAntonio,4.009
SanFrancisco,4.04
SanNarciso,4.074
Sariaya,4.118
Tagkawayan,3.778
TayabasCity,4.026
Tiaong,4.03
Unisan,3.945
